]633;E;echo "id,username,email,password";f08b28f9-5bb3-45a6-9cfe-4144923e1e14]633;Cid,username,email,password
1,user1,user1@test.com,pw1
2,user2,user2@test.com,pw2
3,user3,user3@test.com,pw3
4,user4,user4@test.com,pw4
5,user5,user5@test.com,pw5
6,user6,user6@test.com,pw6
7,user7,user7@test.com,pw7
8,user8,user8@test.com,pw8
9,user9,user9@test.com,pw9
10,user10,user10@test.com,pw10
11,user11,user11@test.com,pw11
12,user12,user12@test.com,pw12
13,user13,user13@test.com,pw13
14,user14,user14@test.com,pw14
15,user15,user15@test.com,pw15
16,user16,user16@test.com,pw16
17,user17,user17@test.com,pw17
18,user18,user18@test.com,pw18
19,user19,user19@test.com,pw19
20,user20,user20@test.com,pw20
21,user21,user21@test.com,pw21
22,user22,user22@test.com,pw22
23,user23,user23@test.com,pw23
24,user24,user24@test.com,pw24
25,user25,user25@test.com,pw25
26,user26,user26@test.com,pw26
27,user27,user27@test.com,pw27
28,user28,user28@test.com,pw28
29,user29,user29@test.com,pw29
30,user30,user30@test.com,pw30
31,user31,user31@test.com,pw31
32,user32,user32@test.com,pw32
33,user33,user33@test.com,pw33
34,user34,user34@test.com,pw34
35,user35,user35@test.com,pw35
36,user36,user36@test.com,pw36
37,user37,user37@test.com,pw37
38,user38,user38@test.com,pw38
39,user39,user39@test.com,pw39
40,user40,user40@test.com,pw40
41,user41,user41@test.com,pw41
42,user42,user42@test.com,pw42
43,user43,user43@test.com,pw43
44,user44,user44@test.com,pw44
45,user45,user45@test.com,pw45
46,user46,user46@test.com,pw46
47,user47,user47@test.com,pw47
48,user48,user48@test.com,pw48
49,user49,user49@test.com,pw49
50,user50,user50@test.com,pw50
